address,name,size,calls,called_by,decompiled
1000:9632,FUN_1000_9632,30,0,1,1
1000:9650,FUN_1000_9650,81,0,2,1
1000:96a1,FUN_1000_96a1,81,0,2,1
1000:96f2,FUN_1000_96f2,47,1,2,1
1000:977e,FUN_1000_977e,41,0,1,1
1000:97a7,FUN_1000_97a7,28,0,1,1
1000:97c3,FUN_1000_97c3,32,1,1,1
1000:97e3,FUN_1000_97e3,30,1,2,1
1000:9801,FUN_1000_9801,53,0,1,1
1000:9836,FUN_1000_9836,35,0,1,1
1000:9859,FUN_1000_9859,71,0,7,1
1000:98a0,FUN_1000_98a0,166,0,6,1
1000:9946,FUN_1000_9946,54,0,1,1
1000:99a0,FUN_1000_99a0,44,0,1,1
1000:99cc,FUN_1000_99cc,35,0,1,1
1000:99ef,FUN_1000_99ef,30,0,3,1
1000:9a0d,FUN_1000_9a0d,23,0,3,1
1000:9a24,FUN_1000_9a24,18,1,2,1
1000:9a36,FUN_1000_9a36,21,0,4,1
1000:9a54,FUN_1000_9a54,32,0,2,1
1000:9aa6,FUN_1000_9aa6,8,0,15,1
1000:9aae,FUN_1000_9aae,11,0,8,1
1000:9ab9,FUN_1000_9ab9,26,0,2,1
1000:9ad3,FUN_1000_9ad3,14,0,6,1
1000:9ae1,FUN_1000_9ae1,14,1,5,1
1000:9aef,FUN_1000_9aef,30,0,1,1
1000:9b34,FUN_1000_9b34,14,0,23,1
1000:9b42,FUN_1000_9b42,199,0,2,1
1000:9c09,FUN_1000_9c09,1332,0,1,1
1000:a13d,FUN_1000_a13d,1248,0,1,1
1000:a61d,FUN_1000_a61d,16,0,14,1
1000:a62d,FUN_1000_a62d,41,0,1,1
1000:a656,FUN_1000_a656,79,0,3,1
1000:a6a5,FUN_1000_a6a5,140,0,5,1
1000:a731,FUN_1000_a731,44,0,1,1
1000:a75d,FUN_1000_a75d,140,3,1,1
1000:a7e9,FUN_1000_a7e9,84,5,3,1
1000:a83d,FUN_1000_a83d,121,1,1,1
1000:a8b6,FUN_1000_a8b6,78,1,1,1
1000:a904,FUN_1000_a904,59,0,1,1
1000:a93f,FUN_1000_a93f,78,1,1,1
1000:a98d,FUN_1000_a98d,61,2,3,1
1000:a9ca,FUN_1000_a9ca,201,7,4,1
1000:aa93,FUN_1000_aa93,27,0,5,1
1000:aaae,FUN_1000_aaae,22,1,2,1
1000:aac4,FUN_1000_aac4,17,0,1,1
1000:aad5,FUN_1000_aad5,86,0,1,1
1000:ab3e,FUN_1000_ab3e,137,1,1,1
1000:abc7,FUN_1000_abc7,57,0,4,1
1000:ac00,FUN_1000_ac00,187,0,5,1
1000:acbb,FUN_1000_acbb,155,0,2,1
1000:ad56,FUN_1000_ad56,42,0,1,1
1000:ad80,FUN_1000_ad80,22,0,9,1
1000:ada4,FUN_1000_ada4,26,2,1,1
1000:adbe,FUN_1000_adbe,18,0,4,1
1000:add0,FUN_1000_add0,27,0,3,1
1000:adeb,FUN_1000_adeb,179,0,2,1
1000:ae9e,FUN_1000_ae9e,103,0,5,1
1000:af05,FUN_1000_af05,61,0,2,1
1000:af42,FUN_1000_af42,45,0,2,1
1000:af6f,FUN_1000_af6f,200,1,2,1
1000:b037,FUN_1000_b037,203,0,2,1
1000:b102,FUN_1000_b102,395,12,2,1
1000:b28d,FUN_1000_b28d,101,13,1,1
1000:b2f2,FUN_1000_b2f2,418,18,1,1
1000:b494,FUN_1000_b494,20,0,1,1
1000:b4a8,FUN_1000_b4a8,28,0,1,1
1000:b4c4,FUN_1000_b4c4,20,0,1,1
1000:b4d8,FUN_1000_b4d8,49,0,4,1
1000:b58f,FUN_1000_b58f,210,14,1,1
1000:b661,FUN_1000_b661,200,14,1,1
1000:b729,FUN_1000_b729,98,1,1,1
1000:b78c,FUN_1000_b78c,14,0,17,1
1000:b7cf,FUN_1000_b7cf,167,0,1,1
1000:b876,FUN_1000_b876,305,3,2,1
1000:b9a7,FUN_1000_b9a7,107,3,1,1
1000:ba12,FUN_1000_ba12,85,1,1,1
1000:ba67,FUN_1000_ba67,72,0,1,1
1000:baaf,FUN_1000_baaf,125,0,2,1
1000:bb2c,FUN_1000_bb2c,68,0,1,1
1000:bb70,FUN_1000_bb70,125,0,1,1
1000:bbed,FUN_1000_bbed,105,1,1,1
1000:bc56,FUN_1000_bc56,67,0,1,1
1000:bc99,FUN_1000_bc99,53,0,1,1
1000:bcce,FUN_1000_bcce,38,0,1,1
1000:bcf4,FUN_1000_bcf4,42,0,8,1
1000:bd1e,FUN_1000_bd1e,29,0,4,1
1000:bd3b,FUN_1000_bd3b,73,1,2,1
1000:bd84,FUN_1000_bd84,127,1,3,1
1000:be03,FUN_1000_be03,51,0,1,1
1000:be36,FUN_1000_be36,267,2,5,1
1000:bf41,FUN_1000_bf41,271,0,1,1
1000:c050,FUN_1000_c050,109,0,1,1
1000:c0bd,FUN_1000_c0bd,201,0,14,1
1000:c231,FUN_1000_c231,43,0,3,1
1000:c25c,FUN_1000_c25c,53,0,2,1
1000:c291,FUN_1000_c291,47,0,3,1
1000:c2c0,FUN_1000_c2c0,39,0,3,1
1000:c2e7,FUN_1000_c2e7,47,0,5,1
1000:c316,FUN_1000_c316,39,1,2,1
1000:c33e,FUN_1000_c33e,165,0,1,1
1000:c449,FUN_1000_c449,12,0,4,1
1000:c492,FUN_1000_c492,74,1,6,1
1000:c585,FUN_1000_c585,27,0,1,1
1000:c5bb,FUN_1000_c5bb,56,0,3,1
1000:c5f4,FUN_1000_c5f4,30,1,13,1
1000:c612,FUN_1000_c612,30,1,9,1
1000:c630,FUN_1000_c630,67,2,1,1
1000:c673,FUN_1000_c673,45,0,1,1
1000:c6a0,FUN_1000_c6a0,13,1,2,1
1000:c6ad,FUN_1000_c6ad,6,0,8,1
1000:c6b3,FUN_1000_c6b3,9,0,9,1
1000:c6bc,FUN_1000_c6bc,21,0,1,1
1000:c6d1,FUN_1000_c6d1,41,0,2,1
1000:c6fa,FUN_1000_c6fa,52,0,9,1
1000:c72e,FUN_1000_c72e,60,0,1,1
1000:c76a,FUN_1000_c76a,9,0,1,1
1000:c79d,FUN_1000_c79d,24,0,5,1
1000:c7b5,FUN_1000_c7b5,24,0,5,1
1000:c7ce,FUN_1000_c7ce,226,0,4,1
